instance,algorithm,randomSeed,epsilon,horizon,REG
i-1.txt,round-robin,0,0,50,15.0
i-1.txt,round-robin,1,0,50,8.0
i-1.txt,round-robin,2,0,50,15.0
i-1.txt,round-robin,3,0,50,14.0
i-1.txt,round-robin,4,0,50,13.0
i-1.txt,round-robin,5,0,50,12.0
i-1.txt,round-robin,6,0,50,11.0
i-1.txt,round-robin,7,0,50,8.0
i-1.txt,round-robin,8,0,50,5.0
i-1.txt,round-robin,9,0,50,8.0
i-1.txt,round-robin,10,0,50,14.0
i-1.txt,round-robin,11,0,50,12.0
i-1.txt,round-robin,12,0,50,10.0
i-1.txt,round-robin,13,0,50,7.0
i-1.txt,round-robin,14,0,50,6.0
i-1.txt,round-robin,15,0,50,15.0
i-1.txt,round-robin,16,0,50,6.0
i-1.txt,round-robin,17,0,50,18.0
i-1.txt,round-robin,18,0,50,8.0
i-1.txt,round-robin,19,0,50,6.0
i-1.txt,round-robin,20,0,50,6.0
i-1.txt,round-robin,21,0,50,8.0
i-1.txt,round-robin,22,0,50,13.0
i-1.txt,round-robin,23,0,50,8.0
i-1.txt,round-robin,24,0,50,13.0
i-1.txt,round-robin,25,0,50,9.0
i-1.txt,round-robin,26,0,50,11.0
i-1.txt,round-robin,27,0,50,9.0
i-1.txt,round-robin,28,0,50,4.0
i-1.txt,round-robin,29,0,50,11.0
i-1.txt,round-robin,30,0,50,10.0
i-1.txt,round-robin,31,0,50,6.0
i-1.txt,round-robin,32,0,50,10.0
i-1.txt,round-robin,33,0,50,10.0
i-1.txt,round-robin,34,0,50,13.0
i-1.txt,round-robin,35,0,50,12.0
i-1.txt,round-robin,36,0,50,11.0
i-1.txt,round-robin,37,0,50,11.0
i-1.txt,round-robin,38,0,50,7.0
i-1.txt,round-robin,39,0,50,9.0
i-1.txt,round-robin,40,0,50,10.0
i-1.txt,round-robin,41,0,50,9.0
i-1.txt,round-robin,42,0,50,6.0
i-1.txt,round-robin,43,0,50,12.0
i-1.txt,round-robin,44,0,50,9.0
i-1.txt,round-robin,45,0,50,7.0
i-1.txt,round-robin,46,0,50,10.0
i-1.txt,round-robin,47,0,50,12.0
i-1.txt,round-robin,48,0,50,4.0
i-1.txt,round-robin,49,0,50,7.0
i-1.txt,round-robin,0,0,200,49.0
i-1.txt,round-robin,1,0,200,33.0
i-1.txt,round-robin,2,0,200,44.0
i-1.txt,round-robin,3,0,200,49.0
i-1.txt,round-robin,4,0,200,40.0
i-1.txt,round-robin,5,0,200,46.0
i-1.txt,round-robin,6,0,200,44.0
i-1.txt,round-robin,7,0,200,29.0
i-1.txt,round-robin,8,0,200,30.0
i-1.txt,round-robin,9,0,200,42.0
i-1.txt,round-robin,10,0,200,50.0
i-1.txt,round-robin,11,0,200,39.0
i-1.txt,round-robin,12,0,200,32.0
i-1.txt,round-robin,13,0,200,27.0
i-1.txt,round-robin,14,0,200,35.0
i-1.txt,round-robin,15,0,200,48.0
i-1.txt,round-robin,16,0,200,30.0
