------------------------------------------------------------------------------------------------------------------------
                Year            Semester                Code             Credits                 Tag         letterGrade
------------------------------------------------------------------------------------------------------------------------
                2018              Autumn              CS 305                   6         Core course                  AA
                2018              Autumn              CS 317                   6         Core course                  AA
                2018              Autumn              CS 333                   4         Core course                  AA
                2018              Autumn              CS 341                   3         Core course                  AA
                2018              Autumn              CS 347                   6         Core course                  AB
                2018              Autumn              CS 387                   3         Core course                  AA
                2018              Autumn              CS 475                   6         Honors core                  AA
                2018              Autumn              CS 663                   6         Honors core                  AA
                2018              Autumn              HS 307                   6        HSS Elective                  AA
                2018              Autumn              MA 403                   8               Minor                  AA
